Код;Наименование;Упак.;Цена, руб;Заказ
;РОЯЛ КАНИН  (Корм для животных);;;
;Felin Healfh Nutrition;;;
426781;Ультра Лайт в желе 85 гр;12;59;
386761;Ультра Лайт в соусе 85 гр;12;59;
386756;Уринари Кэа соус 85 гр;12;59;
434564;Хэйрбол Кэа соус 85 гр;12;59;
426783;Эйджинг+12 в желе 85 гр;12;59;
402022;Эйджинг+12 в соусе 85 гр;12;59;
;Saze Health Nutrition;;;
;Breed Canin;;;
412435;Боксёр 12 кг*;1;4731;
386939;Бульдог   3 кг;4;1462;
386940;Бульдог  12кг;1;4731;
386957;Голден Ретривер   3 кг;4;1379;
386958;Голден Ретривер  12 кг;1;4731;
386946;Далматин  12 кг;1;4731;
386962;Джерман Шеферд   3 кг;4;1379;
476206;Джерман Шеферд Эдалт 11 кг;1;4337;
386960;Джерман Шеферд Юниор   3 кг;4;1525;
386961;Джерман Шеферд Юниор  12 кг;1;5082;
386895;Йоркшир. терьер    0,5 кг;10;318;
386896;Йоркшир. терьер   1,5 кг;6;859;
406925;Йоркшир. терьер   3 кг;4;1555;
386898;Йоркшир. терьер  7,5 кг;1;3782;
386893;Йоркшир. терьер Паппи  0,5 кг;10;348;
386894;Йоркшир. терьер Паппи 1,5 кг;6;915;
386926;Кокер  3 кг;4;1462;
386952;Лабрадор Ретривер   3 кг;4;1379;
386953;Лабрадор Ретривер  12 кг;1;4731;
386950;Лабрадор Ретривер Юниор  3 кг;4;1525;
386951;Лабрадор Ретривер Юниор 12 кг;1;5082;
386918;Миниатюрный Шнауцер  3 кг;4;1731;
386916;Мопс  0,5 кг;10;318;
386915;Мопс 1,5 кг;6;859;
417911;Мопс 7,5 кг;4;3782;
417178;Мопс Паппи 1,5 кг;6;915;
481427;Померанский шпиц 0,5 кг;12;318;
481429;Померанский шпиц 1,5 кг;6;859;
386903;Пудель Юниор  0,5 кг;10;348;
386900;Такса Эдалт 1,5 кг;6;859;
386901;Такса Эдалт 7,5 кг;1;3182;
386902;Такса Юниор 1,5 кг;6;915;
419444;Французский Бульдог Паппи  3 кг;4;1492;
395123;Французский Бульдог Паппи 10кг;1;4432;
417623;Французский Бульдог Эдалт 3кг;4;1462;
450415;Французский Бульдог Эдалт 9кг;1;3885;
386890;Чихуахуа   0,5 кг;10;318;
386891;Чихуахуа  1,5 кг;6;859;
443333;Чихуахуа  3 кг;4;1555;
386888;Чихуахуа Паппи 0,5 кг;10;348;
386911;Ши тцу  1,5 кг;6;859;
;Giant;;;
468591;Джаинт Паппи   3,5 кг;4;1353;
386863;Джаинт Паппи  15 кг;1;5013;
394714;Джаинт Стартер  4 кг;4;1541;
386870;Джаинт Эдалт    4 кг;4;1336;
440864;Джаинт Эдалт   15кг ;1;4439;
386862;Джаинт Юниор    3,5 кг;4;1353;
386867;Джаинт Юниор  15 кг;1;5013;
;Maxi;;;
448039;Макси  Дайджестив кэа 3 кг;4;1400;
386850;Макси Дайджестив кэа 15 кг;1;5611;
386842;Макси Дерма Комфорт   3 кг;4;1395;
475200;Макси Дерма Комфорт  10 кг;1;4151;
450991;Макси Джойнт кэа 10кг;1;4151;
476306;Макси Лайт  10 кг;1;4236;
440875;Макси Паппи 15 кг;1;5459;
450023;Макси Паппи 3 кг;4;1337;
394708;Макси Стартер  4 кг;4;1753;
394709;Макси Стартер 15 кг;1;5566;
440360;Макси Эдалт  3 кг;4;1171;
386837;Макси Эдалт 15 кг;1;4643;
410690;Макси Эдалт 5 + 15кг;1;4967;
411229;Макси Эйджинг 8+ 15 кг;1;5085;
;Medium;;;
449167;Медиум Дайджестив кеа  3 кг;4;1420;
386822;Медиум Дерма Комфорт  3 кг;4;1367;
386823;Медиум Дерма Комфорт 10 кг;1;4057;
410691;Медиум Паппи  3 кг;4;1351;
