;;;;;;;;;Барнаул 02.2020;;;
Позиция;Фото; Наименование ; шт/уп ; вес упаковка/ кг ; Объем, м3/уп ; Цена, руб ; Заказ, шт ; Сумма заказа, руб. ; Вес, кг ; Объем в м3 ; Кол-во Упаковок ; штрих-код  
63;;Наполнитель силикагелевый ТМ Хочу еще 7,6 л + Куриные ломтики 10 гр.;4;13,58;0,033;353,6;;0;0;0;0;4630030820154
64;;Наполнитель силикагелевый  1 кг (15 шт);15;16;0,045;111,35;;0;0;0;0;4630000720958
65;;Наполнитель силикагелевый  Лаванда ТМ Питомец 5л;6;12,8;0,034;228,65;;0;0;0;0;4630000720156
66;;Наполнитель силикагелевый Клубника ТМ Питомец 5л;6;12,8;0,034;228,65;;0;0;0;0;4630000720163
67;;Наполнитель силикагелевый ТМ Питомец 10 кг;1;10,24;0,022;1018,3;;0;0;0;0;4630000720415
68;;Наполнитель силикагелевый ТМ Питомец 10л;3;12,8;0,034;426,7;;0;0;0;0;4630000720095
69;;Наполнитель силикагелевый ТМ Питомец 15 кг;1;15,24;0,036;1460,3;;0;0;0;0;4630000721283
70;;Наполнитель силикагелевый ТМ Питомец 3л (12шт);12;15,46;0,04;137,7;;0;0;0;0;4630000720088
71;;Наполнитель силикагелевый ТМ Питомец 5л;6;12,8;0,035;224,4;;0;0;0;0;4630000720057
72;;Наполнитель впитывающий диатомитовый для длинношерстных кошек ТМ Питомец 5л;5;16,8;0,03;96;;0;0;0;0;4630000721030
73;;Наполнитель впитывающий диатомитовый обожженный универсал ТМ Питомец 5л;5;16,8;0,03;96;;0;0;0;0;4630000721023
74;;Наполнитель впитывающий кристальный норма ТМ Питомец 25кг;1;25,2;0,052;399;;0;0;0;0;4630000721276
75;;Наполнитель впитывающий кристальный норма ТМ Питомец 5л;6;18,53;0,037;85;;0;0;0;0;4630000720453
76;;Наполнитель древесный   18 л;1;9,72;0,017;151;;0;0;0;0;
77;;Наполнитель древесный элитный 25кг;1;25,2;0,052;335;;0;0;0;0;4630000721290
78;;Наполнитель древесный элитный ТМ Питомец 20л;1;10,86;0,017;193;;0;0;0;0;4630000720132
79;;Наполнитель древесный элитный ТМ Питомец 3л;8;13,84;0,03;44;;0;0;0;0;4630000720484
80;;Наполнитель древесный элитный ТМ Питомец 5л;6;16,48;0,03;65;;0;0;0;0;4630000720101
81;;Наполнитель комкующийся бентонитовый экстра ТМ Питомец 5л;5;20,54;0,03;102;;0;0;0;0;4630000720996
82;;Наполнитель комкующийся кристальный норма ТМ Питомец 25 кг.;1;25,2;0,052;371;;0;0;0;0;4630000721269
83;;Наполнитель комкующийся кристальный норма ТМ Питомец 5л;5;16,34;0,033;83;;0;0;0;0;4630000720422
84;;Наполнитель ТМ Питомец  силикагелевый ЖЕМЧУГ 1 кг (12шт);12;12,5;0,045;147;;0;0;0;0;4630000721238
85;;Наполнитель ТМ Питомец  силикагелевый ЖЕМЧУГ 3.8 л (8 шт);8;13,55;0,035;247;;0;0;0;0;4630000721214
86;;Наполнитель ТМ Питомец силикагелевый ЖЕМЧУГ  7,6 л ;4;13,58;0,033;482;;0;0;0;0;4630000721221
87;;Мясоешки бефстроганов с овсянкой 15 кг.;1;15,12;0,041;1531;;0;0;0;0;4630030820475
88;;Мясоешки бефстроганов с овсянкой 3 кг.;4;12,188;0,043;334;;0;0;0;0;4630030820482
89;;Мясоешки для активных собак 15 кг;1;15,12;0,041;1836;;0;0;0;0;4630030820512
90;;Мясоешки для активных собак 3 кг;4;12,188;0,043;393;;0;0;0;0;4630030820543
91;;Мясоешки для щенков 15 кг;1;15,12;0,041;1849;;0;0;0;0;4630030820550
92;;Мясоешки для щенков 3 кг.;4;12,188;0,043;398;;0;0;0;0;4630030820567
93;;Мясоешки мясо и овощи 15 кг.;1;15,12;0,041;1531;;0;0;0;0;4630030820499
94;;Мясоешки мясо и овощи 3 кг.;4;12,188;0,043;334;;0;0;0;0;4630030820529
95;;Мясоешки цыпленок с рисом 15 кг;1;15,12;0,041;1531;;0;0;0;0;4630030820505
96;;Мясоешки цыпленок с рисом 3 кг.;4;12,188;0,043;334;;0;0;0;0;4630030820536
;;;;;;;0;0;0;0;0;
