Группы товара;Артикул;Наименование товара;;;Ед. измер.;Цена для корпоративных клиентов;Штук в упаковке;Вес;Штрих-код;;
;108764;8in1 DELIGHTS Beef S косточка с говядиной для мелких и средних собак 11 см;;;шт.;203,50;36;0,066;4048422108764 ;;
;108733;8in1 DELIGHTS Beef XS косточки с говядиной для мелких собак 7,5 см 7 шт;;;шт.;317,87;36;0,126;4048422108733 ;;
;108856;8in1 DELIGHTS Beef палочки с говядиной для мелких и средних собак 13 см 3 шт;;;шт.;287,79;36;0,132;4048422108856 ;;
;102472;8in1 DELIGHTS L косточка с куриным мясом для крупных собак 21 см;;;шт.;259,23;24;0,162;4048422102472;;
;102434;8in1 DELIGHTS M косточка с куриным мясом для средних и крупных собак 14,5 см;;;шт.;221,83;72;0,122;4048422102434;;
;102403;8in1 DELIGHTS S косточка с куриным мясом для мелких и средних собак 11 см;;;шт.;151,97;24;0,066;4048422102403;;
;102564;8in1 DELIGHTS S косточки с куриным мясом для мелких и средних собак 11 см 6 шт (пакет);;;шт.;779,72;16;0,275;4048422102564;;
;110842;8in1 DELIGHTS Strong L косточка сверхпрочная с куриным мясом для крупных собак 21 см;;;шт.;350,29;36;0,222;4048422110842 ;;
;110781;8in1 DELIGHTS Strong M косточка сверхпрочная с куриным мясом для средних и крупных собак 14,5 см;;;шт.;287,51;36;0,152;4048422110781;;
;110729;8in1 DELIGHTS Strong S косточка сверхпрочная с куриным мясом для мелких и средних собак 11 см;;;шт.;198,26;36;0,081;4048422110729 ;;
;110668;8in1 DELIGHTS Strong XS косточки сверхпрочные с куриным мясом для мелких собак 7,5 см 7 шт;;;шт.;282,93;36;0,182;4048422110668 ;;
;102373;8in1 DELIGHTS XS косточки для мелких собак 7,5 см 7 шт;;;шт.;250,37;24;0,126;4048422102373;;
;102533;8in1 DELIGHTS XS косточки с куриным мясом для мелких собак 7,5 см 21 шт (пакет);;;упак.;755,96;16;0,275;;;
;102687;8in1 DENTAL DELIGHTS L косточка с куриным мясом для крупных собак с минералами 21 см;;;шт.;296,04;24;0,162;4048422102687;;
;102656;8in1 DENTAL DELIGHTS M косточка с куриным мясом для средних и крупных собак с минералами 14,5 см;;;шт.;240,49;24;0,122;4048422102656;;
;102625;8in1 DENTAL DELIGHTS S косточка с куриным мясом для мелких и средних собак с минералами 11 см;;;шт.;170,63;24;0,066;4048422102625;;
;108948;8in1 DENTAL DELIGHTS XS косточки с куриным мясом для мелких собак с минералами ;;;шт.;47,83;30;0,015;4048422108948;;
;102595;8in1 DENTAL DELIGHTS XS косточки с куриным мясом для мелких собак с минералами 7,5 см 7 шт;;;шт.;284,51;24;0,127;4048422102595;;
      АМЕРИКАНСКАЯ ЛИНЕЙКА;;;;;;;;;;;
         ГИГИЕНИЧЕСКИЕ СРЕДСТВА ДЛЯ ГЛАЗ И УШЕЙ;;;;;;;;;;;
;1870937;8in1 бальзам для носа и подушечек лап, для собак Pro-Sense Plus Nose & Paw Salve 92 гр;;;шт.;352,82;12;0,105;026851870937  ;;
;1870067;8in1 гигиенический лосьон для ушей Pro-Sense, для собак и кошек, 118 мл (замена 1007401);;;шт.;232,65;12;0,17;026851870067;;
         КОРРЕКТОР ПОВЕДЕНИЯ;;;;;;;;;;;
;5057655;8in1 средство для приучение к туалету щенков и собак NM House-Breaking спрей 237 мл;;;шт.;266,89;12;0,317;018065057655  ;;
;5057785;8in1 средство против царапанья кошками NM Scratching Deterrent Spray спрей 236 мл;;;шт.;345,91;12;0,317;018065057785  ;;
;5057815;8in1 средство-антигадин для кошек NM No More Spraying спрей 710 мл;;;шт.;552,44;12;0,726;018065057815  ;;
;5057648;8in1 средство-антигрызин для собак NM No-Chew спрей 236 мл;;;шт.;252,78;12;0,317;018065057648  ;;
         НАПОЛНИТЕЛЬ И ПЕЛЕНКИ;;;;;;;;;;;
;5981196;8in1 наполнитель кукурузный NM Premium Natural Care для кошачьего туалета комкующийся 4,5 кг (10 л);;;шт.;907,62;3;4,58;018065981196  ;;
         СРЕДСТВА ДЛЯ ПТИЦ И ГРЫЗУНОВ;;;;;;;;;;;
;1002109;8in1 гравий для заполнения зоба птиц Bird Gravel для канареек и амадин 680 г;;;шт.;100,74;12;0,737;026851002109;;
;1002116;8in1 гравий для заполнения зоба птиц Bird Gravel для корелл, волнистых и др. попугаев 680 г;;;шт.;100,74;12;0,735;026851002116;;
;1001416;8in1 средство для птиц для очищения перьев Bird Bath Spray с алоэ вера спрей 236 мл;;;шт.;258,07;12;0,283;026851001416;;
         СРЕДСТВА ДЛЯ УБОРКИ УНИВЕРСАЛЬНЫЕ;;;;;;;;;;;
;5982308;8in1 средство для стирки NM Laundry Boost для уничтожения пятен, запахов и аллергенов 946 мл (замена 5055569);;;шт.;481,00;12;1,021;018065982308  ;;
;5055545;8in1 средство моющее для ковров и мягкой мебели NM CarpetShampoo с нейтрализаторами аллергенов 1,9 л;;;шт.;808,33;4;2,041;018065055545;;
;5982254;8in1 средство от пятен и запахов NM Hard Floor Cleaner для твердых покрытий полов спрей 710 мл ( замена  5055538);;;шт.;482,68;12;0,952;018065982254  ;;
;5055583;8in1 средство против повторных меток от собак NM No More Marking спрей 710 мл;;;шт.;546,47;12;0,726;018065055583;;
         СРЕДСТВА ДЛЯ УХОДА ЗА РОТОВОЙ ПОЛОСТЬЮ;;;;;;;;;;;
;1870050;8in1 набор для ухода за зубами для собак Pro-Sense, 3 предмета (замена 1870035);;;шт.;434,99;24;0,145;026851870050;;
         СРЕДСТВА ДЛЯ УХОДА ЗА ШЕРСТЬЮ;;;;;;;;;;;
            СПРЕИ ДЛЯ ШЕРСТИ;;;;;;;;;;;
;1066880;8in1 дезодорирующее средство для шерсти собак с ароматом детской присыпки спрей 118 мл;;;шт.;275,04;36;0,138;026851066880  ;;
;1827184;8in1 кондиционер-ополаскиватель для собак PC Hypoallergenic Conditioner гипоаллергенный 473 мл;;;шт.;248,03;24;0,499;026851827184  ;;
;1825883;8in1 шампунь для кошек PC Waterless Shampoo без смывания с ароматом свежести спрей 236 мл;;;шт.;287,47;12;0,283;026851825883  ;;
;1006374;8in1 шампунь для кошек и собак PC Shed Control & Hairball против линьки и колтунов с тропическим аром. 295 мл;;;шт.;303,69;12;0,359;026851006374  ;;
;1006107;8in1 шампунь для собак PC Gentle Hypoallergenic гипоаллергенный 473 мл;;;шт.;281,85;24;0,499;026851006107;;
;1006206;8in1 шампунь для собак PC Natural Oatmeal овсяный успокаивающий для кожи с ароматом ванили 473 мл;;;шт.;331,81;24;0,545;026851006206;;
;1006367;8in1 шампунь для собак PC Shed Control против линьки с тропическим ароматом 473 мл;;;шт.;331,81;24;0,545;026851006367;;
;1006008;8in1 шампунь для собак PC Ultra Moisturizing увлажняющий без запаха 473 мл;;;шт.;337,69;24;0,567;026851006008;;
;1006183;8in1 шампунь для щенков PC Pampered Puppy без слез с ароматом детской присыпки 473 мл;;;шт.;281,85;24;0,583;026851006183;;
;1006404;8in1 шампунь-кондиционер для собак PC Black Pearl для темных окрасов с ароматом бойзен-ягоды 473 мл;;;шт.;281,85;24;0,532;026851006404;;
;1006428;8in1 шампунь-кондиционер для собак PC White Pearl для светлых окрасов с ароматом кокоса 473 мл;;;шт.;281,85;24;0,545;026851006428;;
         СРЕДСТВО ДЛЯ КОШЕК УСПОКАИВАЮЩЕЕ;;;;;;;;;;;
;5057679;8in1 Pet Block Repellent Отпугивающий спрей для собак 237 мл;;;шт.;337,07;12;0,304;018065057679  ;;
;5057808;"8in1 средство для кошек успокаивающее NM No Stress ""Антистресс"" спрей 237 мл";;;шт.;345,91;12;0,304;018065057808  ;;
         СРЕДСТВО ОТ ПЯТЕН И ЗАПАХА;;;;;;;;;;;
            ДЛЯ КОШЕК;;;;;;;;;;;
;5055521;8in1 средство для устранения запаха в кошачьем туалете NM Litter Box Odor Destroyer спрей 710 мл;;;шт.;388,60;12;0,831;018065055521;;
;5969927;8in1 уничтожитель пятен и запахов от кошек NM Advanced с усиленной формулой, спрей 945 мл (замена 5969255);;;шт.;598,93;12;1,088;018065969927;;
;5981707;8in1 уничтожитель пятен и запахов от кошек NM Orange-Oxy с активным кислородом, спрей 709 мл(замена 5051615);;;шт.;464,04;12;0,757;018065981707  ;;
;5969743;8in1 уничтожитель пятен и запахов от кошек NM Remover Spray спрей 945 мл (замена 5969446);;;шт.;492,98;12;1,088;018065969743  ;;
;5969736;8in1 уничтожитель пятен и запахов от кошек NM Remover универсальный 473 мл;;;шт.;272,99;12;0,512;018065969736;;
;5981141;8in1 уничтожитель пятен и запахов от кошек NM Remover универсальный 945 мл;;;шт.;456,39;12;1,111;018065981141  ;;
;5970053;8in1 уничтожитель пятен, запахов и осадка от мочи кошек NM Urine Destroyer 945 мл;;;шт.;549,92;12;1,111;018065970053;;
            ДЛЯ СОБАК;;;;;;;;;;;
;5970169;8in1 уничтожитель пятен и запахов от собак NM Advanced с усиленной формулой, спрей 945 мл;;;шт.;598,93;12;1,088;018065970169;;
;5981721;8in1 уничтожитель пятен и запахов от собак NM Orange-Oxy с активным кислородом, спрей 709 мл(замена 5057006);;;шт.;461,81;12;0,757;018065981721  ;;
;5969606;8in1 уничтожитель пятен и запахов от собак NM универсальный 473 мл;;;шт.;272,99;12;0,512;018065969606;;
;5969644;8in1 уничтожитель пятен и запахов от собак NM универсальный 945 мл;;;шт.;457,14;12;1,111;018065969644;;
;5969620;8in1 уничтожитель пятен и запахов от собак NM универсальный, спрей 710 мл;;;шт.;429,31;12;0,757;018065969620;;
