;;Название категории в 1-с;База 1
;RU PUR DENTALIFE Single;;
12272570;12366948;PRO PLAN DOG Взр/ВсеП Актив Кур 14кг XE;4524,85
;12294795;PRPN LRGROTADLStveDogSmn16.5kgPR+2.5kgXE;4001,59
;12272466;PRPN д/вз кр мщтел кур&ри16,5PR+2,5кгRU;3601,43
;12272460;PRO PLAN д/щен ср пор кур&ри 14кгPR+ 2XE ;3706,94
12398185;12365631;PRO PLAN DOG Взр/КрМощТел Кур 12+2кгPR;3539,81
;12365459;PRO PLAN DOG Взр/СрП Курица 12+2кгPR;3539,81
12398182;12365630;PRO PLAN DOG Взр/КрП Атл Кур 12+2кгPR;3539,81
;12365632;PRO PLAN DOG Взр/СрП ЧувПищ Ягн 12+2кгPR;3757,05
;12398183;Pro Plan Dog Взр/СрП ЧувКож Ягн 14кг+2кг;3869,76
;12398180;PRPNDog Взр/КрМощТел ЧувПищ ягн 14кг+2кг;3869,76
;12365652;PRO PLAN DOG Взр/СрП ЧувКож Лос 12+2кгPR;3757,05
;12272392;PRO PLAN DOG ВзрСрП ЧувКож Лос 14+2.5кг;4001,59
;12365638;PRO PLAN DOG Взр/КрПАтл ЧувПищ Ягн12+2кг;3757,05
;12398184;PRPNMEDADLStveSknDogSmn14kgPR2kgFreeN1RU;3869,76
;RU PUR Pro Plan Dry Dog 7.5 kg;;0,00
12398374;12278923;PRO PLAN д/взр ср пор чувпищ ягн 7кгRU;2431,84
12272564;12377413;PRO PLAN DOG Взр/СрП Курица 7кг;2170,55
12377417;12272563;PRPN д/ср вз соб чув кож лос&рис 7кгXE;2431,84
12278941;12398375;PRO PLAN DOG Взр/МелП ЧувПищ Ягн 7кгN1RU;2500,15
12392233;12272581;PRPN д/мел&кар взр чув кожлос&рис 7кгXE;2500,15
;12367238;PRO PLAN DOG Взр/МелП Курица 7кг;2415,44
;12272582;PRO PLAN д/мел пор взр кур&рис 7кгXE;2600,15
;12392131;PRO PLAN д/щен мел кар кур&рис 7кг XE;2699,61
;RU PUR Pro Plan Dog BioDefense 10kg;;0,00
;12384497;PPD ActiProtect Взр/СрП Куриц 10кгRU;3787,22
;12384605;PPD ActiProtect Взр/СрП ЧувПищЯгн 10кгRU;3787,22
;12384498;PPD ActiProtect Взр/СрП ЧувКожЛос 10кгRU;3787,22
;12384606;PPD ActiProtect Взр/СрП СтерилКур 10кгRU;3787,22
;RU PUR Pro Plan Dry Dog DuoDelice 10kg;;0,00
12340483;12386306;PRPN DUO DELICE Д/ВзрСоб ГовядРис 10 кг;3546,11
12202615;12414088;PRO PLAN DuoDelice Взр Лосось 10кг;3546,11
12176333;12340482;PRPN DUO DELICE Д/ВзрСоб КурРис 10кг;3546,11
;RU PUR Pro Plan Dry Dog DuoDelice 2.5kg;;0,00
;12414092;PROPLAN DuoDelice Взр/МелП Гвяд4х2.5кгRU;1196,11
;12251961;PRPN DUO DELICE SmlAdtDogSmn&Ri4x2.5kgDE;1196,11
12340493, 12386266;12386266;PRPN DUO DELICE Д/ВзрСоб ГовядРис4x2.5кг;1111,68
12340478;12340478;PRPN DUO DELICE Д/ВзрСоб КурРис 4x2.5кг;1111,68
;12340494;PRO PLAN DuoDelice Взр/МелП Кур4х2.5кгRU;1196,11
12202613;12413617;PRO PLAN DuoDelice Взр Лосось 4х2.5кг;1111,68
;12251945;PRPN DUODELICE SmlAdt Dog Bf&Ri4x2.5kgDE;1079,30
12340478;12251941;PRPN DUODELICE SmlAdtDogChkn&Ri4x2.5kgDE;1079,30
;RU PUR Pro Plan Dry Dog DuoDelice 700g;;0,00
"12340410, 12202610, 12251943
";12414091;PRO PLAN DuoDelice Взр/МелП Гвяд 8х700г;369,02
12202611, 12251947;12413360;PRO PLAN DuoDelice Взр/МелП Лосос 8х700г;369,02
12250000, 12176335;12340504;PRO PLAN DuoDelice Взр/МелП Кур 8х700гRU;369,02
12386133, 12381805;12202610;PRPN DUO DELICE Д/ВзрСоб ГовядРис 8x700г;369,02
;12176335;PRPN DUO DELICE Д/ВзрСоб КурРис 8x700г;369,02
;RU PUR Pro Plan Dog NaturalElement 2 kg;;0,00
;12384828;PPD NATUR EL Взр МелкП Ягн 6x2кг;997,33
;12384832;PPD NATUR EL Взр Сред/КрП Лосось 6x2кг;888,03
;12384834;PPD NATUR EL Взр Сред/КрП Ягн 6x2кг;888,03
;12384826;PPD NATUR EL ВзрМелкП Лосось 6x2кг;945,41
;12384818;PPD NATUREL Щен МелкиеПор Ягн 6x2кг;997,33
;12384820;PRPNNATUREELEMENTS Щен Сред/КрП Ягн6x2кг;888,03
;RU PUR Pro Plan Dog NaturalElement 7 kg;;0,00
;12383330;PPD NATUR EL Взр МелкП Ягн 7кг XE;2662,39
;12383329;PPD NATUR EL Взр МелкП Лосось 7кг XE;2662,39
;RU PUR Pro Plan Dog NaturalElement 10kg;;0,00
;12383364;PPD NATUR EL Взр Сред/КрП Лосось 10кг XE;3342,07
;12383368;PPD NATUR EL Взр Сред/КрП Ягн 10кг XE;3342,07
;12383299;PPD NATUR EL Щен Сред/КрП Ягн 10кг XE;3682,60
;RU PUR Pro Plan Dog NaturalElement 700g;;0,00
;12384819;PPD NATUREL Щен Сред/КрП Ягн 8x700g;341,55
;12384827;PPD NATUR EL Взр МелкП Ягн 8x700г;396,20
;12384831;PPD NATUR EL Взр Сред/КрП Лосось 8x700г;341,55
;12384833;PPD NATUR EL Взр Сред/КрП Ягн 8x700г;341,55
;12384825;PPD NATUR EL ВзрМелкП Лосось 8x700г;396,20
;12384819;PPD NATUREL Щен Сред/КрП Ягн 8x700g;341,55
;12384817;PPD NATUREL ЩенМелкП Ягн 8x700г;396,20
;RU PUR Pro Plan Dog BioDefense 700g;;0,00
;12384840;PPD ActiProtect Щен/МелП Ягнен 700гRU;404,26
;12385091;PPD ActiProtect Щен/СрП Ягнен 700гRU;404,26
;RU PUR Pro Plan Dog BioDefense 1,5kg;;0,00
;12385079;PPD ActiProtect Взр/МелП ЧувКожЛос 1,5кг;779,51
;12385047;PPD ActiProtect Взр/МелП Куриц 1,5кгRU;779,51
;RU PUR Pro Plan Dog BioDefense 3kg;;0,00
;12385124;PPD ActiProtect Взр/СрП 7+ Куриц 3кгRU;1457,74
;12385049;PPD ActiProtect Щен/СрП Ягнен 3кгRU;1457,74
;12385076;PPD ActiProtect Щен/МелП Ягнен 3кгRU;1457,74
;12385122;PPD ActiProtect Взр/СрП ЧувПищ Ягн 3кгRU;1457,74
;12385121;PPD ActiProtect Взр/СрП ЧувКож Лос 3кгRU;1457,74
;12385123;PPD ActiProtect Взр/СрП Стерил Кур 3кгRU;1457,74
;12385120;PPD ActiProtect Взр/СрП Куриц 3кгRU;1457,74
;12385090;PPD ActiProtect Взр/МелП ЧувКожЛос 3кгRU;1457,74
;12385048;PPD ActiProtect Взр/МелП Куриц 3кгRU;1457,74
;RU PUR ProPlan Dry Dog 1,5kg;;0,00
12350207, 12335907;12278110;PRPN д/вз српор чувпищ ягн&ри 6х1.5кгRU;689,52
12272385;12350179;PRO PLAN д/ср взр соб кур 6х1.5кг RU;614,79
;12272386;PRO PLAN д/ср взр чув кож лос 6х1.5кг RU;689,52
12350208;12272270;PRO PLAN д/ср щенков кур 6х1.5кг RU;717,66
12322758;12272384;PRO PLAN д/ср щен чув кож лос 6х1.5кг RU;717,66
12350210;12278111;PRPN д/ср щен чув пищ ягн&рис 6х1.5кгRU;717,66
;RU PUR ProPlan Dry Dog 18 - 20kg;;0,00
12272554;12366947;PRPN Д/вз любрзм Акт раб Кур&рис 18кгXE;5656,07
12294792;12377396;PRO PLAN DOG Взр/КрП ЧувКож Лос 18кг XE;5656,07
12294788;12377399;PRO PLAN LRGROTADL Stve Dog Lamb 18kg RU;5656,07
12272388;12367258;PRO PLAN д/вз кр пор мощ тел кур 18кгRU;4991,48
12294768;12377393;PRO PLAN DOG Взр/КрАтл ЧувКож Лос 18кгXE;5656,07
12272387;12366970;PRO PLAN д/вз кр пор спор кур 18kg XE;4991,48
12294639;12366980;PRO PLAN DOG Взр/КрПАтлет ЧувПищ Ягн 18к;5656,07
12272463;12367292;PRO PLAN д/ВзС Ср пор ЧувКожЛос 18кг XE;5656,07
;12366974;PRO PLAN DOG Взр/СрП ЧувПищ Ягн 18кг;5656,07
12278341;12366974;PRO PLAN д/взр ср пор чувпищ ягн 18кг RU;5656,07
12272464;12367265;PRO PLAN д/Взр ср пор Кур&рис 18кг XE;4991,48
12272462;12366949;PRO PLAN д/щен кр пор спор кур 18кг XE;5585,37
12272461;12367291;PRO PLAN д/щен КрпПор мощ тел Кур18кг RU;5585,37
12278097;12367255;PRO PLAN DOG Щен/СрП ЧувПищ Ягн 18кг;5585,37
12272389;12367293;PRO PLAN DOG Щен/СрП Курица 18кг;5585,37
12272465;12367304;PRPN д/щен ср пр чувкож лос&рис 18кгXE;5585,37
;RU PUR ProPlan Dry Dog 3kg;;0,00
;12272618;PRPLN д/вз соб вс пор лег кур&ри 4х3кгXE;1250,07
;12294785;PRO PLAN LRGROTADL StveDogLamb 4x3kg RU ;1287,58
;12272383;PRO PLAN д/вз крсб мощтел кур&ри 4х3кгRU;1114,82
;12294634;PRO PLAN д/взр КрАтлПор чувпищ ягн 4х3кг ;1250,07
;12272234;PRO PLAN д/вз кр пород спор кур 4х3кгRU;1114,82
12272681;12381688;PRO PLAN DOG ВзрСрКрП 7+ Курица 4х3кг RU;1287,58
12272683;12381689;PRPLN д/србол взсоб7+чувкожлос&ри4х3кгXE ;1287,58
12443863;12272212;PRO PLAN DOG Взр/СрП Курица 4х3кг;1114,82
12450113;12278098;PRO PLAN DOG Взр/СрП ЧувПищ Ягн 4х3кг;1287,58
12272211;12443865;PRO PLAN DOG Взр/СрП ЧувКож Лосось 4х3кг;1287,58
12444210;12272215;PRO PLAN DOG ВзрМелП ЧувКож Лос 4x3кг;1420,85
;12324754;PRPN с/вз/мел/пор ЧувПищ Лос 4x3кгPRRU;1186,41
12272216;12444212;PRO PLAN д/взр мелкар кур&рис 4х3кг RU;1366,20
;12377365;PRO PLAN DOG ВзрМелкП Лайт Курица 3кг (4);1366,20
;12278062;PRO PLAN д/взр мелкар чувпищ ягн 4х3гRU;1420,85
;12272210;PRPN д/щен кр пор спор кур&рис 4х3кгXE;1330,28
12443418;12272200;PRO PLAN д/кр щен мощтел кур&рис 4x3кгXE;1330,28
12444308;12272214;PRO PLAN Соб Щен СредПор Курица 4х3кг;1270,57
12450114;12278099;PRO PLAN DOG ЩенСрП ЧувПищ Ягн 4х3кг;1330,28
12450119;12272213;PRO PLAN д/ср щен чувкож лос&рис 4х3кгRU;1330,28
12272619;12381687;PRPLN д/мел кар щен чувкож лос&рис 4х3кг;1434,51
12444361;12444361;PRO PLAN д/мел кар щен кур&рис 4х3кг RU;1434,51
;12362988;PRO PLAN DOG ВзрМелП Кур 2.5+500г ПРОМО;1140,78
;12324775;PRO PLAN DOG ВзрМелП ЧувПищ Ягн 2.5+500г;1186,41
;RU PUR ProPlan Dry Dog 700 - 800g;;0,00
12350217;12272470;PRO PLAN д/мел кар взр9+кур&ри 8х700гRU ;368,87
12350213;12278061;PRO PLAN д/вз мелкар чвпщ яг&рис8х700гRU;368,87
12444419;12272469;PRO PLAN DOG Взр/МелП ЧувК Лос 8х700г;368,87
12444356;12272468;PRPN SMLMNADL д/взрсоб кур&рис 8х700гRU ;368,87
12350216, 12444346;12272382;PRO PLAN д/мел кар щен кур&рис 8х700г RU;389,37
12350214, 12272460;12444207;PRO PLAN DOG Щен/МелП ЧувК Лос 8х700г;389,37
;12335896;PRO PLAN д/щен МелкП КурРис 500+200 PR;266,41
12444207;12335895;PRO PLAN д/щен МелП/ЧКож Лос 500+200г PR;266,41
;12335894;PRO PLAN взр/соб МелП ЧувПищЯгн 500+200г;251,78
;12441188;PRO PLAN СВзМелПЧувК Лос 8x(700г+100г)ПР;368,87
;12441005;PRO PLAN СВзМелПЧувП Ягн 8x(700г+100г)ПР;368,87
;12441016;PRO PLAN СобВзрМелП Кур 8x(700г+100г)ПР;368,87
;PRO PLAN VETERINARY DIETS;;0,00
;RU PUR PVD Dry Dog 12kg;;0,00
12274135;12382569;PPVD CANINE DRM 12kg RU;7110,84
12274131;12395180;PPVD CANINE EN 12kg RU;6775,32
12274205;12381792;PPVD CANINE JM 12kg RU;7500,94
;RU PUR PVD Dry Dog 3kg;;0,00
12274254;12382612;PPVD д/соб DRM при дерматозах 2x3кг m;2305,21
12274252;12413649;PPVD CANINE HA 2x3kg RU;2597,84
12274656;12382536;PPVD CANINE EN 5kg RU;3534,52
12274440;12381794;PRO PLAN DOG JM при забол суст 2х3кг;2283,26
12413644;12338910;PPVD д/соб NC поддерж.функц.мозга 2x3кг;2546,92
12382604;12274255;PPVD CANINE NF 2x3kg RU;2195,44
12274975;12382603;PPVD CANINE HP 2x3kg N1 RU;2305,21
12382621;12274406;PPVD CANINE UR 2x3kg RU;2195,44
12274407;12382606;PPVD д/соб OM при ожирении 2x3кг m;2305,21
12274154;12382570;PPVD CANINE EN 4x1.5kg RU;1254,29
;12441856;PPVD DRM Собака Дерматоз 4х1.5кг;1229,38
;12441890;PPVD HA Собака Аллергия 4х1.3кг;1341,61
;12441963;PPVD UR Собака МочевыдСистема 4х1.5кг;1170,83
;RU PUR PVD Wet Dog 400g;;0,00
12275682;12381643;PPVD CANINE OM Mousse 12x400g RU;220,32
12275680;12381640;PPVD CANINE EN Mousse 12x400g RU;240,95
12275681;12381641;PPVD CANINE NF Mousse 12x400g N1 RU;220,32
;;;
;;;
;;;
;;;
;;;
;;;
;;;
